PIN ROW COL PIO BANK FUNCTION | config
R1   R35  C0   B bank6  VREF1_6                | enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_ODDR IOLDO
R12  R44  C72  A bank3                         | enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II
R13  R41  C72  C bank3                         | -
R14  R41  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
R15  R38  C72  C bank3                         | -
R16  R35  C72  B bank3  VREF1_3                | word: IOLOGICB.DELAY.DEL_VALUE 0100111; enum: IOLOGICB.CEIMUX 1; enum: IOLOGICB.CEOMUX 1; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.GSR DISABLED; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.LSROMUX LSRMUX; enum: IOLOGICB.MODE IDDRX1_ODDRX1
R2   R38  C0   C bank6                         | -
R3   R41  C0   B bank6                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
R4   R41  C0   C bank6                         | -
R5   R44  C0   A bank6                         | enum: IOLOGICA.CEMUX CE; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.LSRIMUX LSRMUX; enum: IOLOGICA.MODE IREG_OREG; enum: PIOA.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOA.DATAMUX_OREG IOLDO
R6   R50  C4   B bank8  D6/IO6                 | -
R7   R50  C6   A bank8  D5/MISO2/IO5           | -
