offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x118,280,2,4:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x119,281,2,5:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11a,282,2,6:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11b,283,2,7:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11c,284,2,8:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11d,285,2,9:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11e,286,2,10:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x11f,287,2,11:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x120,288,2,12:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x121,289,2,13:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
